title,content
Isaac Newton #1,Isaac Newton was a mathematician and physicist who formulated the laws of motion and universal gravitation. [Example 1]
Gravity #1,Gravity is a fundamental force that pulls objects toward each other. [Example 1]
Light #1,Light is electromagnetic radiation that can be perceived by the human eye. [Example 1]
Photosynthesis #1,Photosynthesis is the process by which green plants use sunlight to synthesize nutrients. [Example 1]
DNA #1,DNA is the molecule that carries genetic instructions used in the growth and development of living organisms. [Example 1]
Black Hole #1,A black hole is a region in space where the gravitational pull is so strong that not even light can escape. [Example 1]
Machine Learning #1,Machine learning is a method of data analysis that automates analytical model building. [Example 1]
Neural Network #1,A neural network is a series of algorithms that attempts to recognize relationships in data. [Example 1]
ChatGPT #1,ChatGPT is a language model developed by OpenAI that generates human-like responses. [Example 1]
Einstein #1,Albert Einstein developed the theory of relativity and made contributions to quantum mechanics. [Example 1]
Isaac Newton #2,Isaac Newton was a mathematician and physicist who formulated the laws of motion and universal gravitation. [Example 2]
Gravity #2,Gravity is a fundamental force that pulls objects toward each other. [Example 2]
Light #2,Light is electromagnetic radiation that can be perceived by the human eye. [Example 2]
Photosynthesis #2,Photosynthesis is the process by which green plants use sunlight to synthesize nutrients. [Example 2]
DNA #2,DNA is the molecule that carries genetic instructions used in the growth and development of living organisms. [Example 2]
Black Hole #2,A black hole is a region in space where the gravitational pull is so strong that not even light can escape. [Example 2]
Machine Learning #2,Machine learning is a method of data analysis that automates analytical model building. [Example 2]
Neural Network #2,A neural network is a series of algorithms that attempts to recognize relationships in data. [Example 2]
ChatGPT #2,ChatGPT is a language model developed by OpenAI that generates human-like responses. [Example 2]
Einstein #2,Albert Einstein developed the theory of relativity and made contributions to quantum mechanics. [Example 2]
Isaac Newton #3,Isaac Newton was a mathematician and physicist who formulated the laws of motion and universal gravitation. [Example 3]
Gravity #3,Gravity is a fundamental force that pulls objects toward each other. [Example 3]
Light #3,Light is electromagnetic radiation that can be perceived by the human eye. [Example 3]
Photosynthesis #3,Photosynthesis is the process by which green plants use sunlight to synthesize nutrients. [Example 3]
DNA #3,DNA is the molecule that carries genetic instructions used in the growth and development of living organisms. [Example 3]
Black Hole #3,A black hole is a region in space where the gravitational pull is so strong that not even light can escape. [Example 3]
Machine Learning #3,Machine learning is a method of data analysis that automates analytical model building. [Example 3]
Neural Network #3,A neural network is a series of algorithms that attempts to recognize relationships in data. [Example 3]
ChatGPT #3,ChatGPT is a language model developed by OpenAI that generates human-like responses. [Example 3]
Einstein #3,Albert Einstein developed the theory of relativity and made contributions to quantum mechanics. [Example 3]
Isaac Newton #4,Isaac Newton was a mathematician and physicist who formulated the laws of motion and universal gravitation. [Example 4]
Gravity #4,Gravity is a fundamental force that pulls objects toward each other. [Example 4]
Light #4,Light is electromagnetic radiation that can be perceived by the human eye. [Example 4]
Photosynthesis #4,Photosynthesis is the process by which green plants use sunlight to synthesize nutrients. [Example 4]
DNA #4,DNA is the molecule that carries genetic instructions used in the growth and development of living organisms. [Example 4]
